"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Tchepemen N.; Balasubramanian S.; Kanagaraj N.; Kengne E.","Tchepemen, Nathan (57210451067); Balasubramanian, Sudharsan (55817606300); Kanagaraj, Nithyanandan (36246432800); Kengne, Emmanuel (8854043800)","57210451067; 55817606300; 36246432800; 8854043800","Modulational instability in a coupled nonlocal media with cubic, quintic and septimal nonlinearities","2023","Nonlinear Dynamics","111","21","","20311","20329","18","10","10.1007/s11071-023-08951-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173981139&doi=10.1007%2fs11071-023-08951-4&partnerID=40&md5=1a647451781a4b7b6f7bfab5e1f6f5d4","Article","Final","","Scopus","2-s2.0-85173981139"
"Peterka P.; Koška P.; Jasim A.A.; Kanagaraj N.; Aubrecht J.; Kamrádek M.; Podrazký O.; Todorov F.; Kašik I.; Honzátko P.","Peterka, Pavel (6602769922); Koška, Pavel (55644355900); Jasim, Ali A. (57212397480); Kanagaraj, Nithyanandan (36246432800); Aubrecht, Jan (22978680900); Kamrádek, Michal (55578827600); Podrazký, Ondřej (22981226900); Todorov, Filip (12345187800); Kašik, Ivan (7004504748); Honzátko, Pavel (6602116389)","6602769922; 55644355900; 57212397480; 36246432800; 22978680900; 55578827600; 22981226900; 12345187800; 7004504748; 6602116389","Enhanced pump absorption efficiency in coiled and twisted double-clad fibers for fiber lasers","2019","International Conference on Transparent Optical Networks","2019-July","","8840274","","","","2","10.1109/ICTON.2019.8840274","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073075373&doi=10.1109%2fICTON.2019.8840274&partnerID=40&md5=699ff9a3293fede0be28c289c8404a94","Conference paper","Final","","Scopus","2-s2.0-85073075373"
"Kanagaraj N.; Djevarhidjian L.; Duran V.; Schnebelin C.; De Chatellus H.G.","Kanagaraj, Nithyanandan (36246432800); Djevarhidjian, Leo (57202733578); Duran, Vicente (7004082718); Schnebelin, Come (56347323200); De Chatellus, Hugues Guillet (24072741200)","36246432800; 57202733578; 7004082718; 56347323200; 24072741200","Optimization of acousto-optic optical frequency combs","2019","Optics Express","27","10","","14842","14852","10","34","10.1364/OE.27.014842","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065831030&doi=10.1364%2fOE.27.014842&partnerID=40&md5=c783d95b5b9cf326a4bdfdf7b2d75bb5","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85065831030"
"Nithyanandan K.; Porsezian K.","Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","36246432800; 35561975500","Observation of two state behavior in the instability spectra of saturable nonlinear media","2013","European Physical Journal: Special Topics","222","3-4","","821","825","4","10","10.1140/epjst/e2013-01885-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880128551&doi=10.1140%2fepjst%2fe2013-01885-0&partnerID=40&md5=142acfb04edfe37b20fec9ac41e2df0d","Article","Final","","Scopus","2-s2.0-84880128551"
"Porsezian K.; Nithyanandan K.","Porsezian, Kuppuswamy (35561975500); Nithyanandan, K. (36246432800)","35561975500; 36246432800","A theoretical study on modulational instability in relaxing saturable nonlinear optical media","2017","Odyssey of Light in Nonlinear Optical Fibers: Theory and Applications","","","","97","132","35","0","10.1201/b19377-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140516252&doi=10.1201%2fb19377-5&partnerID=40&md5=5aa2fd1c6d66f70e3c996f1e9f31b228","Book chapter","Final","","Scopus","2-s2.0-85140516252"
"Krupa K.; Nithyanandan K.; Grelu P.","Krupa, Katarzyna (23467266100); Nithyanandan, K. (36246432800); Grelu, Philippe (6602757933)","23467266100; 36246432800; 6602757933","Vector dynamics of incoherent dissipative optical solitons","2017","Optica","4","10","302181","1239","1244","5","107","10.1364/OPTICA.4.001239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032810605&doi=10.1364%2fOPTICA.4.001239&partnerID=40&md5=03687eac504cc977fe2f004e1d8cc1a4","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85032810605"
"Jacob B.; Jegaraj J.R.; Kanagaraj N.","Jacob, Bharathy (60121650100); Jegaraj, John Rozario (60244489200); Kanagaraj, Nithyanandan (36246432800)","60121650100; 60244489200; 36246432800","An all-optical passive device based on wavelength-adaptive diffractive neural network for dynamic beam shaping","2026","Optics and Lasers in Engineering","201","","109703","","","","0","10.1016/j.optlaseng.2026.109703","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031456075&doi=10.1016%2fj.optlaseng.2026.109703&partnerID=40&md5=34a1faba0626dd998bc68c5d7a69e081","Article","Final","","Scopus","2-s2.0-105031456075"
"Kumar M.; Nithyanandan K.; Porsezian K.","Kumar, Monisha (57195633542); Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","57195633542; 36246432800; 35561975500","Influence of spatial delay on the modulational instability in a composite system with a controllable nonlinearity","2018","Physical Review E","97","6","062208","","","","7","10.1103/PhysRevE.97.062208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048737928&doi=10.1103%2fPhysRevE.97.062208&partnerID=40&md5=15ff5634c78254452beea926914c8327","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85048737928"
"Devkar K.; Arunkumar S.; Bhakta T.; Bharadwaj S.R.; Kanagaraj N.; Ganapathy N.","Devkar, Krushna (59710141700); Arunkumar, S. (57939941400); Bhakta, Tithi (59710327300); Bharadwaj, Shrikant R. (7005948157); Kanagaraj, Nithyanandan (36246432800); Ganapathy, Nagarajan (58296234200)","59710141700; 57939941400; 59710327300; 7005948157; 36246432800; 58296234200","Explainable XceptionNet-Based Keratoconus Detection Using Infrared Images and Edge Computing","2025","IEEE Sensors Letters","9","1","6000404","","","","4","10.1109/LSENS.2024.3509503","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001172375&doi=10.1109%2fLSENS.2024.3509503&partnerID=40&md5=98e5cabed871bfe1a61e93a05e6388ce","Article","Final","","Scopus","2-s2.0-105001172375"
"Sharafali A.; Nithyanandan K.","Sharafali, A. (56367906600); Nithyanandan, K. (36246432800)","56367906600; 36246432800","Ultra-broadband continuum generation in silica based defective core photonic crystal fiber","2019","Optik","191","","","121","131","10","8","10.1016/j.ijleo.2019.06.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067082938&doi=10.1016%2fj.ijleo.2019.06.014&partnerID=40&md5=9bdf979f25fdc5184c7cc4a8aff746d5","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85067082938"
"Krupa K.; Nithyanandan K.; Andral U.; Tchofo-Dinda P.; Grelu P.","Krupa, Katarzyna (23467266100); Nithyanandan, K. (36246432800); Andral, Ugo (56826146800); Tchofo-Dinda, Patrice (6604078297); Grelu, Philippe (6602757933)","23467266100; 36246432800; 56826146800; 6604078297; 6602757933","Real-Time Observation of Internal Motion within Ultrafast Dissipative Optical Soliton Molecules","2017","Physical Review Letters","118","24","243901","","","","461","10.1103/PhysRevLett.118.243901","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020548295&doi=10.1103%2fPhysRevLett.118.243901&partnerID=40&md5=9fa917dce3363ac2aa7e2ce693c63c1d","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85020548295"
"Nithyanandan K.; Porsezian K.","Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","36246432800; 35561975500","A theoretical investigation on modulational instability in non-instantaneous saturable nonlinear media","2014","JSAP-OSA Joint Symposia, JSAP 2014","","","","","","","0","10.1364/jsap.2014.17p_c4_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085406338&doi=10.1364%2fjsap.2014.17p_c4_8&partnerID=40&md5=c1dfc1eed17bac627b2aeec9cd917240","Conference paper","Final","","Scopus","2-s2.0-85085406338"
"Nithyanandan K.; Raja R.V.J.; Porsezian K.","Nithyanandan, K. (36246432800); Raja, R. Vasantha Jayakantha (25637567000); Porsezian, K. (35561975500)","36246432800; 25637567000; 35561975500","Modulational instability in a twin-core fiber with the effect of saturable nonlinear response and coupling coefficient dispersion","2013","Physical Review A - Atomic, Molecular, and Optical Physics","87","4","043805","","","","51","10.1103/PhysRevA.87.043805","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876158917&doi=10.1103%2fPhysRevA.87.043805&partnerID=40&md5=8b2f325425009b4d356ff30d6c8ec626","Article","Final","","Scopus","2-s2.0-84876158917"
"Kanagaraj N.; Wang Z.; Coillet A.; Tchofo-Dinda P.; Grelu P.","Kanagaraj, Nithyanandan (36246432800); Wang, Zhiqiang (57212119488); Coillet, Aurélien (26530475400); Tchofo-Dinda, Patrice (6604078297); Grelu, Philippe (6602757933)","36246432800; 57212119488; 26530475400; 6604078297; 6602757933","Buildup of noise-like pulses in ultrafast fiber lasers","2019","2019 Conference on Lasers and Electro-Optics Europe and European Quantum Electronics Conference, CLEO/Europe-EQEC 2019","","","8872466","","","","1","10.1109/CLEOE-EQEC.2019.8872466","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074640667&doi=10.1109%2fCLEOE-EQEC.2019.8872466&partnerID=40&md5=fdb2090da8cde43eefc35254bdd8b655","Conference paper","Final","","Scopus","2-s2.0-85074640667"
"Theodosiou A.; Aubrecht J.; Kanagaraj N.; Peterka P.; Kalli K.; Kašík I.; Honzátko P.","Theodosiou, Antreas (56541357000); Aubrecht, Jan (22978680900); Kanagaraj, Nithyanandan (36246432800); Peterka, Pavel (6602769922); Kalli, Kyriacos (7004133189); Kašík, Ivan (7004504748); Honzátko, Pavel (6602116389)","56541357000; 22978680900; 36246432800; 6602769922; 7004133189; 7004504748; 6602116389","All-fiber mode-locked thulium doped fiber laser using a novel femtosecond laser inscribed 45° tilted fiber grating","2019","2019 Conference on Lasers and Electro-Optics Europe and European Quantum Electronics Conference, CLEO/Europe-EQEC 2019","","","8871737","","","","0","10.1109/CLEOE-EQEC.2019.8871737","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074645321&doi=10.1109%2fCLEOE-EQEC.2019.8871737&partnerID=40&md5=9f69cae57013e2d5c4cf2848fbb97f83","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85074645321"
"Nithyanandan K.; Shafeeque Ali A.K.; Porsezian K.; Nishad M.P.M.; Tchofo Dinda P.; Grelu P.","Nithyanandan, K. (36246432800); Shafeeque Ali, A.K. (56401131700); Porsezian, K. (35561975500); Nishad, M.P.M. (57200690052); Tchofo Dinda, P. (6604078297); Grelu, Ph. (6602757933)","36246432800; 56401131700; 35561975500; 57200690052; 6604078297; 6602757933","Multistability and switching in oppositely-directed saturated coupler","2018","Optics Communications","416","","","145","151","6","11","10.1016/j.optcom.2018.01.055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042193938&doi=10.1016%2fj.optcom.2018.01.055&partnerID=40&md5=8072a4ba62da0502aea53d14e3eb5744","Article","Final","","Scopus","2-s2.0-85042193938"
"Nithyanandan K.; Ali A.K.S.; Porsezian K.","Nithyanandan, K. (36246432800); Ali, Shafeeque (57852272500); Porsezian, K. (35561975500)","36246432800; 57852272500; 35561975500","A study on the Modulational Instability in delayed Saturable Nonlinear Optical Media","2016","Optics InfoBase Conference Papers","","","16p-C301-11","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136301404&partnerID=40&md5=6b8ae5adf23c1e5c92995484c84f113a","Conference paper","Final","","Scopus","2-s2.0-85136301404"
"Manna S.; Kanagaraj N.","Manna, Subrata (60102666300); Kanagaraj, Nithyanandan (36246432800)","60102666300; 36246432800","Experimental Observation of of Complex Dark-Bright Soliton Coexisting regimes in Mode-Locked Fiber Lasers","2025","2025 Conference on Lasers and Electro-Optics Europe and European Quantum Electronics Conference, CLEO/Europe-EQEC 2025","","","","","","","0","10.1109/CLEO/EUROPE-EQEC65582.2025.11111045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016114059&doi=10.1109%2fCLEO%2fEUROPE-EQEC65582.2025.11111045&partnerID=40&md5=b7702ca011e751e38c7c6eaa7ea0a545","Conference paper","Final","","Scopus","2-s2.0-105016114059"
"Nithyanandan K.; Ali A.K.S.; Porsezian K.","Nithyanandan, K. (36246432800); Ali, A.K. Shafeeque (57213370286); Porsezian, K. (35561975500)","36246432800; 57213370286; 35561975500","Modulational instability in the semiconductor doped dispersion decreasing fiber - A prospect for ultrashort pulse generation","2014","Proceedings 12th International Conference on Fiber Optics and Photonics, Photonics 2014","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983158423&partnerID=40&md5=cd9b23b2a22e5b8d228d5b39cbac16ce","Conference paper","Final","","Scopus","2-s2.0-84983158423"
"Musammil N.M.; Subha P.A.; Nithyanandan K.","Musammil, N.M. (55813729600); Subha, P.A. (15846997000); Nithyanandan, K. (36246432800)","55813729600; 15846997000; 36246432800","Black and gray soliton interactions and cascade compression in the variable coefficient nonlinear Schrödinger equation","2018","Optik","159","","","176","188","12","10","10.1016/j.ijleo.2018.01.082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041405806&doi=10.1016%2fj.ijleo.2018.01.082&partnerID=40&md5=38605f10174038c2adc5edafa52e437f","Article","Final","","Scopus","2-s2.0-85041405806"
"Duran V.; De Chatellus H.G.; Schnebelin C.; Nithyanandan K.; Djevarhidjian L.; Clement J.; Fernandez-Pousa C.R.","Duran, Vicente (7004082718); De Chatellus, Hugues Guillet (24072741200); Schnebelin, Come (56347323200); Nithyanandan, Kanagaraj (36246432800); Djevarhidjian, Leo (57202733578); Clement, Juan (56941379000); Fernandez-Pousa, Carlos R. (6603683357)","7004082718; 24072741200; 56347323200; 36246432800; 57202733578; 56941379000; 6603683357","Optical Frequency Combs Generated by Acousto-Optic Frequency-Shifting Loops","2019","IEEE Photonics Technology Letters","31","23","8871215","1878","1881","3","31","10.1109/LPT.2019.2947655","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077227819&doi=10.1109%2fLPT.2019.2947655&partnerID=40&md5=9591bd96f19b38e9b596849b1ab9763b","Article","Final","","Scopus","2-s2.0-85077227819"
"Musammil N.M.; Subha P.A.; Nithyanandan K.","Musammil, N.M. (55813729600); Subha, P.A. (15846997000); Nithyanandan, K. (36246432800)","55813729600; 15846997000; 36246432800","Phase dynamics of inhomogeneous Manakov vector solitons","2019","Physical Review E","100","1","012213","","","","19","10.1103/PhysRevE.100.012213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070094450&doi=10.1103%2fPhysRevE.100.012213&partnerID=40&md5=5b99c081dba8cd554aff886780307ad2","Article","Final","","Scopus","2-s2.0-85070094450"
"Bhuvaneswari S.; Nithyanandan K.; Muruganandam P.","Bhuvaneswari, S. (57217139806); Nithyanandan, K. (36246432800); Muruganandam, P. (6603283212)","57217139806; 36246432800; 6603283212","Spotlighting phase separation in Rashba spin-orbit coupled Bose-Einstein condensates in two dimensions","2018","Journal of Physics Communications","2","2","025008","","","","8","10.1088/2399-6528/aaa85e","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079281146&doi=10.1088%2f2399-6528%2faaa85e&partnerID=40&md5=9f768ce59dfe1e59154d6b567113ab85","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85079281146"
"Kanagaraj N.; Theodosiou A.; Aubrecht J.; Peterka P.; Kamradek M.; Kalli K.; Kasik I.; Honzatko P.","Kanagaraj, Nithyanandan (36246432800); Theodosiou, Antreas (56541357000); Aubrecht, Jan (22978680900); Peterka, Pavel (6602769922); Kamradek, Michal (55578827600); Kalli, Kyriacos (7004133189); Kasik, Ivan (7004504748); Honzatko, Pavel (6602116389)","36246432800; 56541357000; 22978680900; 6602769922; 55578827600; 7004133189; 7004504748; 6602116389","All fiber mode-locked thulium-doped fiber laser using a novel femtosecond-laser-inscribed 45°-plane-by-plane-tilted fiber grating","2019","Laser Physics Letters","16","9","095104","","","","19","10.1088/1612-202X/ab39db","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075800902&doi=10.1088%2f1612-202X%2fab39db&partnerID=40&md5=bcfc9eec9f0a86fca5b4a2b09e63574a","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85075800902"
"Nithyanandan K.; Vasantha Jayakantha Raja R.; Porsezian K.","Nithyanandan, K. (36246432800); Vasantha Jayakantha Raja, R. (25637567000); Porsezian, K. (35561975500)","36246432800; 25637567000; 35561975500","Power play in the supercontinuum spectra of saturable nonlinear media","2014","Laser Physics","24","4","045405","","","","9","10.1088/1054-660X/24/4/045405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898949137&doi=10.1088%2f1054-660X%2f24%2f4%2f045405&partnerID=40&md5=d420e4cda7d189ccc19bfdbf9a87da6c","Article","Final","","Scopus","2-s2.0-84898949137"
"Jose A.; Nithyanandan K.","Jose, Amala (57887456500); Nithyanandan, K. (36246432800)","57887456500; 36246432800","Impact of cavity dispersion on the Noise-like pulse generated supercontinuum","2022","Optics InfoBase Conference Papers","","","JW5A.76","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146769174&partnerID=40&md5=92e1da89b16e8bd463a8545a27961904","Conference paper","Final","","Scopus","2-s2.0-85146769174"
"Jose A.; Guasoni M.; Coillet A.; Dinda P.T.; Grelu P.; Nithyanandan K.","Jose, Amala (57887456500); Guasoni, Massimiliano (25649404500); Coillet, Aurelien (26530475400); Dinda, Patrice Tchofo (6604078297); Grelu, Philippe (6602757933); Nithyanandan, K. (36246432800)","57887456500; 25649404500; 26530475400; 6604078297; 6602757933; 36246432800","Towards a broadband gain-flattened thulium doped fiber amplifier","2025","Optics Communications","578","","131452","","","","4","10.1016/j.optcom.2024.131452","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214335805&doi=10.1016%2fj.optcom.2024.131452&partnerID=40&md5=eb3891e2ae59b61631b4d1c779148545","Article","Final","","Scopus","2-s2.0-85214335805"
"Sharafali A.; Nithyanandan K.","Sharafali, A. (56367906600); Nithyanandan, K. (36246432800)","56367906600; 36246432800","A theoretical study on the supercontinuum generation in a novel suspended liquid core photonic crystal fiber","2020","Applied Physics B: Lasers and Optics","126","4","55","","","","22","10.1007/s00340-020-7403-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081118747&doi=10.1007%2fs00340-020-7403-9&partnerID=40&md5=0e7b05198d509b8bd2bcea05637bcf09","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85081118747"
"Uthayakumar T.; Raja V.J.R.; Nithyanandan K.; Porsezian K.","Uthayakumar, T. (35362713600); Raja, Vasantha Jayakantha R. (25637567000); Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","35362713600; 25637567000; 36246432800; 35561975500","Investigation of all optical pulse steering through a highly nonlinear chalcogenide twin core photonic crystal fiber","2013","2013 International Conference on Microwave and Photonics, ICMAP 2013","","","6733549","","","","3","10.1109/ICMAP.2013.6733549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897772765&doi=10.1109%2fICMAP.2013.6733549&partnerID=40&md5=130b5ccee6dcebf653a443e761a91677","Conference paper","Final","","Scopus","2-s2.0-84897772765"
"Jose A.; Chowdhury S.D.; Balasubramanian S.; Krupa K.; Wang Z.; Upadhyay B.N.; Grelu P.; Kanagaraj N.","Jose, Amala (57887456500); Chowdhury, Sourav Das (56513150800); Balasubramanian, Sudharsan (55817606300); Krupa, Katarzyna (23467266100); Wang, Zhiqiang (57212119488); Upadhyay, B.N. (7005524118); Grelu, Philippe (6602757933); Kanagaraj, Nithyanandan (36246432800)","57887456500; 56513150800; 55817606300; 23467266100; 57212119488; 7005524118; 6602757933; 36246432800","Noise-Like Pulse Seeded Supercontinuum Generation: An In-Depth Review For High-Energy Flat Broadband Sources","2025","Laser and Photonics Reviews","19","5","2400511","","","","22","10.1002/lpor.202400511","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208059231&doi=10.1002%2flpor.202400511&partnerID=40&md5=030577aa6fb652d9f266154cd98122df","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85208059231"
"Nithyanandan K.","Nithyanandan, K. (36246432800)","36246432800","Soliton physics in India: A tribute to the late K. Porsezian","2024","Optics Communications","553","","130078","","","","4","10.1016/j.optcom.2023.130078","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177054514&doi=10.1016%2fj.optcom.2023.130078&partnerID=40&md5=19b26384e00611929115113483bc34f1","Article","Final","","Scopus","2-s2.0-85177054514"
"Kanagaraj N.; Wang Z.; Coillet A.; Tchofo-Dinda P.; Grelu P.","Kanagaraj, Nithyanandan (36246432800); Wang, Zhiqiang (57212119488); Coillet, Aurélien (26530475400); Tchofo-Dinda, Patrice (6604078297); Grelu, Philippe (6602757933)","36246432800; 57212119488; 26530475400; 6604078297; 6602757933","Buildup of noise-like pulses in ultrafast fiber lasers","2019","Optics InfoBase Conference Papers","Part F143-EQEC 2019","","2019-ef_9_3","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084557411&partnerID=40&md5=7c9d8186f93dfff02b3c88157a57e0db","Conference paper","Final","","Scopus","2-s2.0-85084557411"
"Nithyanandan K.; Djevarhidjian L.; Duran V.; Schnébelin C.; De Chatellus H.G.","Nithyanandan, K. (36246432800); Djevarhidjian, L. (57202733578); Duran, V. (7004082718); Schnébelin, C. (56347323200); De Chatellus, H. Guillet (24072741200)","36246432800; 57202733578; 7004082718; 56347323200; 24072741200","Optimization of acousto-optic frequency combs","2019","2019 Conference on Lasers and Electro-Optics Europe and European Quantum Electronics Conference, CLEO/Europe-EQEC 2019","","","8871928","","","","0","10.1109/CLEOE-EQEC.2019.8871928","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074673215&doi=10.1109%2fCLEOE-EQEC.2019.8871928&partnerID=40&md5=6ed98ddd18c023de340f2b12b1bca17f","Conference paper","Final","","Scopus","2-s2.0-85074673215"
"Raja R.V.J.; Nithyanandan K.; Uthayakumar T.; Porsezian K.","Raja, R. Vasantha Jayakantha (25637567000); Nithyanandan, K. (36246432800); Uthayakumar, T. (35362713600); Porsezian, K. (35561975500)","25637567000; 36246432800; 35362713600; 35561975500","Supercontinuum generation in the novel semiconductor doped dispersion decreasing fiber","2014","WRAP 2013 - Workshop on Recent Advances in Photonics","","","6917696","","","","0","10.1109/WRAP.2013.6917696","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910025500&doi=10.1109%2fWRAP.2013.6917696&partnerID=40&md5=10f591595128fa6e1e61f779c334a357","Conference paper","Final","","Scopus","2-s2.0-84910025500"
"Igbonacho J.; Nithyanandan K.; Krupa K.; Dinda P.T.; Grelu P.; Moubissi A.B.","Igbonacho, J. (57202317976); Nithyanandan, K. (36246432800); Krupa, K. (23467266100); Dinda, P. Tchofo (6604078297); Grelu, P. (6602757933); Moubissi, A.B. (6603251331)","57202317976; 36246432800; 23467266100; 6604078297; 6602757933; 6603251331","Dynamics of distorted and undistorted soliton molecules in a mode-locked fiber laser","2019","Physical Review A","99","6","063824","","","","46","10.1103/PhysRevA.99.063824","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068261215&doi=10.1103%2fPhysRevA.99.063824&partnerID=40&md5=77f1d9c3a37e686133d662d2526d421f","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85068261215"
"Nithyanandan K.; Djevarhidjian L.; Duran Bosch V.; Schnébelin C.; Kassi S.; Méjean G.; Romanini D.; Guillet De Chatellus H.","Nithyanandan, K. (36246432800); Djevarhidjian, L. (57202733578); Duran Bosch, V. (7004082718); Schnébelin, C. (56347323200); Kassi, S. (6602332937); Méjean, G. (6602982434); Romanini, D. (7004166308); Guillet De Chatellus, H. (24072741200)","36246432800; 57202733578; 7004082718; 56347323200; 6602332937; 6602982434; 7004166308; 24072741200","Optimization of acousto-optic frequency combs for multi-heterodyne spectroscopy","2018","Optics InfoBase Conference Papers","Part F115-LS 2018","","","","","","0","10.1364/LS.2018.LTh1F.3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059469953&doi=10.1364%2fLS.2018.LTh1F.3&partnerID=40&md5=92d4ac8ada6ac69fbe9b4e3e9f64d665","Conference paper","Final","","Scopus","2-s2.0-85059469953"
"Shafeeque Ali A.K.; Nithyanandan K.; Porsezian K.; Dinda P.T.","Shafeeque Ali, A.K. (56401131700); Nithyanandan, K. (36246432800); Porsezian, K. (35561975500); Dinda, P. Tchofo (6604078297)","56401131700; 36246432800; 35561975500; 6604078297","Optical Bistability and Switching in Oppositely Directed Coupler","2016","IEEE Journal of Quantum Electronics","52","12","7587375","","","","8","10.1109/JQE.2016.2616130","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994824096&doi=10.1109%2fJQE.2016.2616130&partnerID=40&md5=9c55923b46e58ed189ee346f37f9e9ab","Article","Final","","Scopus","2-s2.0-84994824096"
"Shafeeque Ali A.K.; Nithyanandan K.; Porsezian K.","Shafeeque Ali, A.K. (56401131700); Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","56401131700; 36246432800; 35561975500","Theoretical investigation of modulation instability in a three-core coupler with negative index material channel","2015","Physics Letters, Section A: General, Atomic and Solid State Physics","379","3","","223","229","6","31","10.1016/j.physleta.2014.11.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84913593337&doi=10.1016%2fj.physleta.2014.11.023&partnerID=40&md5=fe2ce161ab6e77237d8c6b9d124ebb26","Article","Final","","Scopus","2-s2.0-84913593337"
"Sharafali A.; Nithyanandan K.; Porsezian K.","Sharafali, A. (56367906600); Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","56367906600; 36246432800; 35561975500","Self-similar pulse compression by defective core photonic crystal fiber with cubic–quintic nonlinearities","2019","Optik","178","","","591","601","10","11","10.1016/j.ijleo.2018.09.183","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054797149&doi=10.1016%2fj.ijleo.2018.09.183&partnerID=40&md5=0e981bce59b2880c76ea1f7f73d01c30","Article","Final","","Scopus","2-s2.0-85054797149"
"Uthayakumar T.; Raja R.V.J.; Nithyanandan K.; Porsezian K.","Uthayakumar, T. (35362713600); Raja, R. Vasantha Jayakantha (25637567000); Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","35362713600; 25637567000; 36246432800; 35561975500","All optical and and NAND logic gates based on a triple core photonic crystal fiber","2013","AIP Conference Proceedings","1536","","","715","716","1","0","10.1063/1.4810427","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880093628&doi=10.1063%2f1.4810427&partnerID=40&md5=2bceae813be3921d28fe0551f5ca21c1","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84880093628"
"Nithyanandan K.; Sharafali A.; Peterka P.","Nithyanandan, K. (36246432800); Sharafali, A. (56367906600); Peterka, P. (6602769922)","36246432800; 56367906600; 6602769922","A theoretical study on the continuum generation in a defective core photonic crystal fiber","2019","Optics InfoBase Conference Papers","Part F139-ASSL 2019","","JTh3A.48","","","","0","10.1364/ASSL.2019.JTh3A.48","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084557249&doi=10.1364%2fASSL.2019.JTh3A.48&partnerID=40&md5=93127f54deeef3698bd1e2d7c3efde37","Conference paper","Final","","Scopus","2-s2.0-85084557249"
"Nithyanandan K.; Sharafali A.; Peterka P.","Nithyanandan, K. (36246432800); Sharafali, A. (56367906600); Peterka, P. (6602769922)","36246432800; 56367906600; 6602769922","A theoretical study on the continuum generation in a defective core photonic crystal fiber","2019","Advanced Solid State Lasers - Proceedings Laser Congress 2019 (ASSL, LAC, LS and C)","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086287919&partnerID=40&md5=af2bf11a2fc4e57ce24bd19555850edd","Conference paper","Final","","Scopus","2-s2.0-85086287919"
